City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Bluff,AU,2020-01-02 19:32:55,-23.58,149.07,75.74,78,20,13.06
114,Zhigansk,RU,2020-01-02 19:32:55,66.77,123.37,-33.75,92,0,8.99
115,Nuuk,GL,2020-01-02 19:32:40,64.17,-51.74,24.8,68,75,8.05
116,Meulaboh,ID,2020-01-02 19:32:27,4.14,96.13,80.49,78,98,6.91
117,Delvine,AL,2020-01-02 19:32:56,39.95,20.1,48.99,56,13,2.24
118,Ponta Do Sol,BR,2020-01-02 19:32:22,-20.63,-46.0,74.89,82,100,2.91
119,Bagdarin,RU,2020-01-02 19:32:57,54.44,113.59,-2.45,84,100,3.0
120,Chokurdakh,RU,2020-01-02 19:32:21,70.62,147.9,-24.57,94,0,3.04
121,Tuatapere,NZ,2020-01-02 19:32:58,-46.13,167.69,48.99,83,53,17.0
122,Jimeta,NG,2020-01-02 19:32:58,9.28,12.44,69.17,26,40,8.3
123,Souillac,FR,2020-01-02 19:32:21,45.6,-0.6,46.0,93,100,8.05
124,Sertanopolis,BR,2020-01-02 19:32:58,-23.06,-51.04,87.8,52,75,11.41
125,Amurzet,CN,2020-01-02 19:32:59,47.69,131.09,-2.97,84,0,9.1
126,Conde,BR,2020-01-02 19:28:13,-11.81,-37.61,80.74,80,100,14.76
127,Nanortalik,GL,2020-01-02 19:32:20,60.14,-45.24,29.64,35,100,5.66
128,Marawi,PH,2020-01-02 19:32:59,8.0,124.29,75.0,91,100,3.0
129,Tautira,PF,2020-01-02 19:32:41,-17.73,-149.15,86.0,66,75,13.87
130,Mount Isa,AU,2020-01-02 19:32:29,-20.73,139.49,78.8,74,100,2.24
131,Hambantota,LK,2020-01-02 19:33:00,6.12,81.12,77.0,100,20,4.7
132,Atbasar,KZ,2020-01-02 19:33:00,51.81,68.36,28.98,94,100,12.68
133,Samarai,PG,2020-01-02 19:33:01,-10.62,150.67,77.76,84,73,2.28
134,Vila Velha,BR,2020-01-02 19:33:01,-3.71,-38.6,86.0,78,75,9.17
135,Bani,YE,2020-01-02 19:33:01,16.02,42.93,79.2,79,0,2.08
136,Radhan,PK,2020-01-02 19:33:01,27.18,67.95,53.56,32,60,5.59
137,Huarmey,PE,2020-01-02 19:33:01,-10.07,-78.15,78.42,54,79,10.74
138,Honiara,SB,2020-01-02 19:33:02,-9.43,159.96,73.4,100,20,4.7
139,Tazovskiy,RU,2020-01-02 19:33:02,67.47,78.7,-0.8,91,100,11.5
140,Libenge,CD,2020-01-02 19:33:02,3.65,18.64,74.62,26,53,4.45
141,Katsuura,JP,2020-01-02 19:32:19,33.93,134.5,48.0,75,75,4.7
142,Buin,CL,2020-01-02 19:33:04,-33.73,-70.74,87.8,27,0,8.05
143,Bagan,RU,2020-01-02 19:33:04,54.1,77.67,21.58,91,100,16.44
144,Prokuplje,RS,2020-01-02 19:33:04,43.23,21.59,30.2,86,0,3.36
